Leaning,Source,Instagram Followers,Instagram Account URL,X Followers,X Account URL,URL,Date of Establishment,Age,Wikipedia Page,Pulitzers,Circulation Details,Staff writers
right,Reason,,,290.9K,https://x.com/Reason,https://reason.com/,May 1968,56,https://en.wikipedia.org/wiki/Reason_(magazine),,,
right,CBN,,,185.2K,https://x.com/CBNNews,https://cbn.com/,1961,64,https://en.wikipedia.org/wiki/Christian_Broadcasting_Network,,,
right,Guest Writer - Right,,,,,,,,,,,
right,Wall Street Journal (Opinion),,,157.3K,https://x.com/WSJopinion,https://www.wsj.com/opinion,"July 8, 1889",135,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,,,
right,Daily Mail,,,2.8M,https://x.com/MailOnline,www.dailymail.co.uk/,4 May 1896,128,https://en.wikipedia.org/wiki/Daily_Mail,,,
right,Fox News (Opinion),,,140.6K,https://x.com/FoxNewsOpinion,https://www.foxnews.com/opinion,"October 7, 1996",28,https://en.wikipedia.org/wiki/Fox_News,,,
right,The Federalist,,,490.9K,https://x.com/FDRLST,https://thefederalist.com/,"September 1, 2013",11,https://en.wikipedia.org/wiki/The_Federalist_(website),,,
center,The Hill,,,4.3M,https://x.com/thehill,https://thehill.com/,"September 1, 1994",30,https://en.wikipedia.org/wiki/The_Hill_(newspaper),,,
center,Wall Street Journal (News),,,20.7M,https://x.com/WSJ,https://www.wsj.com/,"July 8, 1889",135,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,,,
center,Reuters,,,25.5M,https://x.com/Reuters,https://www.reuters.com/,October 1851,173,https://en.wikipedia.org/wiki/Reuters,,,
center,BBC News,,,15.4M,https://x.com/BBCNews,https://www.bbc.com/news,14 November 1922,102,https://en.wikipedia.org/wiki/BBC_News,,,
center,Axios,,,669.9K,https://x.com/axios,https://www.axios.com/,2016,19,https://en.wikipedia.org/wiki/Axios_(website),,,
center,CNBC,,,5.3M,https://x.com/CNBC,www.cnbc.com,"April 17, 1989",35,https://en.wikipedia.org/wiki/CNBC,,,
center,Christian Science Monitor,,,77.2K,https://x.com/csmonitor,https://www.csmonitor.com/,1908,117,https://en.wikipedia.org/wiki/The_Christian_Science_Monitor,,,
center,Newsweek,,,3.5M,https://x.com/Newsweek,https://www.newsweek.com/,"February 17, 1933",92,https://en.wikipedia.org/wiki/Newsweek,,,
center,Forbes,,,20.7M,https://x.com/Forbes,https://www.forbes.com/,"September 15, 1917",107,https://en.wikipedia.org/wiki/Forbes,,,
center,Chicago Tribune,,,1.1M,https://x.com/chicagotribune,https://www.chicagotribune.com/,"June 10, 1847",177,https://en.wikipedia.org/wiki/Chicago_Tribune,,,
center,FiveThirtyEight,,,1.2M,https://x.com/FiveThirtyEight,https://abcnews.go.com/538,"March 7, 2008",16,https://en.wikipedia.org/wiki/FiveThirtyEight,,,
center,Guest Writer - Center,,,,,,,,,,,
center,NewsNation,,,252.1K,https://x.com/NewsNation,https://www.newsnationnow.com/,"November 9, 1978",46,https://en.wikipedia.org/wiki/NewsNation,,,
center,MarketWatch,,,4.6M,https://x.com/MarketWatch,https://www.marketwatch.com/,"October 30, 1997",27,https://en.wikipedia.org/wiki/MarketWatch,,,
center,International Business Times,,,116.3K,https://x.com/IBTimes,https://www.ibtimes.com/,2006,19,https://en.wikipedia.org/wiki/International_Business_Times,,,
center,FactCheck.org,,,174.4K,https://x.com/factcheckdotorg,https://www.factcheck.org/,2003,21,https://en.wikipedia.org/wiki/FactCheck.org,,,
center,STAT,,,160.6K,https://x.com/statnews,https://www.statnews.com/,"November 4, 2015",9,https://en.wikipedia.org/wiki/Stat_(website),,,
center,AllSides,,,33.6K,https://x.com/AllSidesNow,https://www.allsides.com/,2012,13,https://en.wikipedia.org/wiki/AllSides,,,
center,Roll Call,,,354.6K,https://x.com/rollcall,https://rollcall.com/,"June 16, 1955",69,https://en.wikipedia.org/wiki/Roll_Call,,,
center,Poynter,,,206.6K,https://x.com/Poynter,https://www.poynter.org/,"May 29, 1975",49,https://en.wikipedia.org/wiki/Poynter_Institute,,,
