Leaning,Source,Instagram Followers,Instagram Account URL,X Followers,X Account URL,URL,Date of Establishment,Age,Wikipedia Page,Pulitzers,Circulation Details,Staff writers
left,CNN Business,1.2M,https://www.instagram.com/cnnbusiness,1.7M,https://x.com/CNNBusiness,https://edition.cnn.com/business,2001,24,https://en.wikipedia.org/wiki/CNN_Business,,,
left,Daily Beast,452K,https://www.instagram.com/thedailybeast,1.3M,https://x.com/thedailybeast,thedailybeast.com,"October 6, 2008",16,https://en.wikipedia.org/wiki/The_Daily_Beast,,,
left,USA TODAY,3.6M,https://www.instagram.com/usatoday,5M,https://x.com/USATODAY,https://usatoday.com/,"September 15, 1982",42,https://en.wikipedia.org/wiki/USA_Today,,,
left,NPR (Online News),7.2M,https://www.instagram.com/npr,8.3M,https://x.com/NPR,https://www.npr.org/,"April 20, 1971",53,https://en.wikipedia.org/wiki/NPR,,,
left,Bloomberg,623K,https://www.instagram.com/bloomberg,9.6M,https://x.com/business,https://www.bloomberg.com/,"October 1, 1981",43,https://en.wikipedia.org/wiki/Bloomberg_L.P.,,,
left,Guest Writer - Left,,,,,,,,,,,
left,Slate,89.9K,https://www.instagram.com/slate,1.5M,https://x.com/Slate,https://slate.com/,1996,29,https://en.wikipedia.org/wiki/Slate_(magazine),,,
left,Salon,34.3K,https://www.instagram.com/salonofficial/,875.7K,https://x.com/Salon,https://www.salon.com/,"April 18, 1995",29,https://en.wikipedia.org/wiki/Salon.com,,,
right,Fox News (Online News),9.8M,https://www.instagram.com/foxnews,25.8M,https://x.com/FoxNews,https://www.foxnews.com/,"October 7, 1996",28,https://en.wikipedia.org/wiki/Fox_News,,,
right,Washington Examiner,161K,https://www.instagram.com/washingtonexaminer,360.8K,https://x.com/dcexaminer,https://www.washingtonexaminer.com/,2005,20,https://en.wikipedia.org/wiki/Washington_Examiner,,,
right,Washington Times,122K,https://www.instagram.com/washtimes,467.6K,https://x.com/WashTimes,https://www.washingtontimes.com/,"May 17, 1982",42,https://en.wikipedia.org/wiki/The_Washington_Times,,,
right,New York Post (News),1.5M,https://www.instagram.com/nypost,3.3M,https://x.com/nypost,https://nypost.com/,"November 16, 1801",223,https://en.wikipedia.org/wiki/New_York_Post,,,
right,National Review,79.2K,https://www.instagram.com/nationalreview,368.4K,https://x.com/NRO,https://www.nationalreview.com/,"November 19, 1955",69,https://en.wikipedia.org/wiki/National_Review,,,
right,Townhall,537K,https://www.instagram.com/townhallmedia,419.8K,https://x.com/townhallcom,https://townhall.com/,"March 2, 1995",29,https://en.wikipedia.org/wiki/Townhall,,,
right,Newsmax (News),1.9M,https://www.instagram.com/newsmax,3.3M,https://x.com/newsmax,https://www.newsmax.com/,"September 16, 1998",26,https://en.wikipedia.org/wiki/Newsmax,,,
right,The Daily Caller,668K,https://www.instagram.com/dailycaller,1.1M,https://x.com/DailyCaller,https://dailycaller.com/,"January 11, 2010",15,https://en.wikipedia.org/wiki/The_Daily_Caller,,,
right,Breitbart News,1.8M,https://www.instagram.com/wearebreitbart,2.3M,https://x.com/BreitbartNews,https://www.breitbart.com/,2007,18,https://en.wikipedia.org/wiki/Breitbart_News,,,
right,The Epoch Times,357K,https://www.instagram.com/epochtimes,820.4K,https://x.com/EpochTimes,https://www.theepochtimes.com/,"May 20, 2000",24,https://en.wikipedia.org/wiki/The_Epoch_Times,,,
right,The Daily Wire,2.4M,https://www.instagram.com/realdailywire,2.5M,https://x.com/realDailyWire,https://www.dailywire.com/,"September 21, 2015",9,https://en.wikipedia.org/wiki/The_Daily_Wire,,,
right,Fox Business,1.2M,https://www.instagram.com/foxbusiness,888.4K,https://x.com/FoxBusiness,https://www.foxbusiness.com/,"October 15, 2007",17,https://en.wikipedia.org/wiki/Fox_Business,,,
right,The Blaze,965K,https://www.instagram.com/theblazetv,1M,https://x.com/theblaze,https://www.theblaze.com/,"December 3, 2018",6,https://en.wikipedia.org/wiki/Blaze_Media,,,
right,Reason,83.2K,https://www.instagram.com/reasonmagazine,290.9K,https://x.com/Reason,https://reason.com/,May 1968,56,https://en.wikipedia.org/wiki/Reason_(magazine),,,
right,CBN,176K,https://www.instagram.com/cbnnews,185.2K,https://x.com/CBNNews,https://cbn.com/,1961,64,https://en.wikipedia.org/wiki/Christian_Broadcasting_Network,,,
right,Guest Writer - Right,,,,,,,,,,,
right,Wall Street Journal (Opinion),53.5K,https://www.instagram.com/wsjopinion/,157.3K,https://x.com/WSJopinion,https://www.wsj.com/opinion,"July 8, 1889",135,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,,,
right,Daily Mail,3.4M,https://www.instagram.com/dailymail,2.8M,https://x.com/MailOnline,www.dailymail.co.uk/,4 May 1896,128,https://en.wikipedia.org/wiki/Daily_Mail,,,
right,Fox News (Opinion),9.8M,https://www.instagram.com/foxnews,140.6K,https://x.com/FoxNewsOpinion,https://www.foxnews.com/opinion,"October 7, 1996",28,https://en.wikipedia.org/wiki/Fox_News,,,
right,The Federalist,67.8K,https://www.instagram.com/fdrlst,490.9K,https://x.com/FDRLST,https://thefederalist.com/,"September 1, 2013",11,https://en.wikipedia.org/wiki/The_Federalist_(website),,,
right,Washington Free Beacon,23.8K,https://www.instagram.com/washingtonfreebeacon,178.7K,https://x.com/FreeBeacon,https://freebeacon.com/,2012,13,https://en.wikipedia.org/wiki/The_Washington_Free_Beacon,,,
center,The Hill,247K,https://www.instagram.com/thehill,4.3M,https://x.com/thehill,https://thehill.com/,"September 1, 1994",30,https://en.wikipedia.org/wiki/The_Hill_(newspaper),,,
center,Wall Street Journal (News),5.1M,https://www.instagram.com/wsj,20.7M,https://x.com/WSJ,https://www.wsj.com/,"July 8, 1889",135,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,,,
center,Reuters,5M,https://www.instagram.com/reuters,25.5M,https://x.com/Reuters,https://www.reuters.com/,October 1851,173,https://en.wikipedia.org/wiki/Reuters,,,
center,BBC News,28.4M,https://www.instagram.com/bbcnews,15.4M,https://x.com/BBCNews,https://www.bbc.com/news,14 November 1922,102,https://en.wikipedia.org/wiki/BBC_News,,,
center,Axios,256K,https://www.instagram.com/axios,669.9K,https://x.com/axios,https://www.axios.com/,2016,19,https://en.wikipedia.org/wiki/Axios_(website),,,
center,CNBC,2.8M,https://www.instagram.com/cnbc,5.3M,https://x.com/CNBC,www.cnbc.com,"April 17, 1989",35,https://en.wikipedia.org/wiki/CNBC,,,
center,Christian Science Monitor,14.1K,https://www.instagram.com/csmonitor,77.2K,https://x.com/csmonitor,https://www.csmonitor.com/,1908,117,https://en.wikipedia.org/wiki/The_Christian_Science_Monitor,,,
center,Newsweek,351K,https://www.instagram.com/newsweek,3.5M,https://x.com/Newsweek,https://www.newsweek.com/,"February 17, 1933",92,https://en.wikipedia.org/wiki/Newsweek,,,
center,Forbes,6.8M,https://www.instagram.com/forbes,20.7M,https://x.com/Forbes,https://www.forbes.com/,"September 15, 1917",107,https://en.wikipedia.org/wiki/Forbes,,,
center,Chicago Tribune,230K,https://www.instagram.com/chicagotribune,1.1M,https://x.com/chicagotribune,https://www.chicagotribune.com/,"June 10, 1847",177,https://en.wikipedia.org/wiki/Chicago_Tribune,,,
center,FiveThirtyEight,94.8K,https://www.instagram.com/fivethirtyeight,1.2M,https://x.com/FiveThirtyEight,https://abcnews.go.com/538,"March 7, 2008",16,https://en.wikipedia.org/wiki/FiveThirtyEight,,,
center,Guest Writer - Center,,,,,,,,,,,
center,NewsNation,304K,https://www.instagram.com/newsnationnow,252.1K,https://x.com/NewsNation,https://www.newsnationnow.com/,"November 9, 1978",46,https://en.wikipedia.org/wiki/NewsNation,,,
center,MarketWatch,535K,https://www.instagram.com/marketwatch,4.6M,https://x.com/MarketWatch,https://www.marketwatch.com/,"October 30, 1997",27,https://en.wikipedia.org/wiki/MarketWatch,,,
center,International Business Times,1.996K,https://www.instagram.com/ibtimes_usa,116.3K,https://x.com/IBTimes,https://www.ibtimes.com/,2006,19,https://en.wikipedia.org/wiki/International_Business_Times,,,
center,FactCheck.org,172K,https://www.instagram.com/factcheckorg/,174.4K,https://x.com/factcheckdotorg,https://www.factcheck.org/,2003,21,https://en.wikipedia.org/wiki/FactCheck.org,,,
center,STAT,16.9K,https://www.instagram.com/statnews,160.6K,https://x.com/statnews,https://www.statnews.com/,"November 4, 2015",9,https://en.wikipedia.org/wiki/Stat_(website),,,
center,AllSides,265K,https://www.instagram.com/allsidesnow,33.6K,https://x.com/AllSidesNow,https://www.allsides.com/,2012,13,https://en.wikipedia.org/wiki/AllSides,,,
center,Roll Call,27.3K,https://www.instagram.com/rollcall,354.6K,https://x.com/rollcall,https://rollcall.com/,"June 16, 1955",69,https://en.wikipedia.org/wiki/Roll_Call,,,
center,Poynter,17K,https://www.instagram.com/poynter_institute/,206.6K,https://x.com/Poynter,https://www.poynter.org/,"May 29, 1975",49,https://en.wikipedia.org/wiki/Poynter_Institute,,,
center,SCOTUSblog,19.1K,https://www.instagram.com/scotus_blog/?hl=en,558.6K,https://x.com/SCOTUSblog,https://www.scotusblog.com/,2002,22,https://en.wikipedia.org/wiki/SCOTUSblog,,,
