Leaning,Source,Instagram Followers,Instagram Account URL,X Followers,X Account URL,URL,Date of Establishment,Age,Wikipedia Page,Country,Category,URL (in country language),Wikipedia Page (in country language)
right,National Review,79.2K,https://www.instagram.com/nationalreview,368.4K,https://x.com/NRO,https://www.nationalreview.com/,"November 19, 1955",69,https://en.wikipedia.org/wiki/National_Review,USA,USA,,
right,Townhall,537K,https://www.instagram.com/townhallmedia,419.8K,https://x.com/townhallcom,https://townhall.com/,"March 2, 1995",29,https://en.wikipedia.org/wiki/Townhall,USA,USA,,
right,Newsmax (News),1.9M,https://www.instagram.com/newsmax,3.3M,https://x.com/newsmax,https://www.newsmax.com/,"September 16, 1998",26,https://en.wikipedia.org/wiki/Newsmax,USA,USA,,
center,Wall Street Journal (News),5.1M,https://www.instagram.com/wsj,20.7M,https://x.com/WSJ,https://www.wsj.com/,"July 8, 1889",135,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,USA,USA,,
center,Axios,256K,https://www.instagram.com/axios,669.9K,https://x.com/axios,https://www.axios.com/,2016,19,https://en.wikipedia.org/wiki/Axios_(website),USA,USA,,
center,CNBC,2.8M,https://www.instagram.com/cnbc,5.3M,https://x.com/CNBC,www.cnbc.com,"April 17, 1989",35,https://en.wikipedia.org/wiki/CNBC,USA,USA,,
center,Christian Science Monitor,14.1K,https://www.instagram.com/csmonitor,77.2K,https://x.com/csmonitor,https://www.csmonitor.com/,1908,117,https://en.wikipedia.org/wiki/The_Christian_Science_Monitor,USA,USA,,
center,Newsweek,351K,https://www.instagram.com/newsweek,3.5M,https://x.com/Newsweek,https://www.newsweek.com/,"February 17, 1933",92,https://en.wikipedia.org/wiki/Newsweek,USA,USA,,
center,Forbes,6.8M,https://www.instagram.com/forbes,20.7M,https://x.com/Forbes,https://www.forbes.com/,"September 15, 1917",107,https://en.wikipedia.org/wiki/Forbes,USA,USA,,
center,BBC News,28.7M,https://www.instagram.com/bbcnews/,15.4M,https://x.com/BBCNews,https://www.bbc.co.uk/news,14 November 1922,103,https://en.wikipedia.org/wiki/BBC_News,UK,EU,,
left,The Guardian,5.9M,https://www.instagram.com/guardian/,10.6M,https://x.com/guardian,https://www.theguardian.com/,"May 5, 1821",204,https://en.wikipedia.org/wiki/The_Guardian,UK,EU,,
right,The Times,1.1M,https://www.instagram.com/thetimes/,1.7M,https://x.com/thetimes,https://www.thetimes.co.uk/,"January 1,1785",240,https://en.wikipedia.org/wiki/The_Times,UK,EU,,
right,The Telegraph,1.2M,https://www.instagram.com/telegraph/,3.4M,https://x.com/Telegraph,https://www.telegraph.co.uk/,"June 29, 1855",170,https://en.wikipedia.org/wiki/The_Daily_Telegraph,UK,EU,,
right,Daily Mail,3.8M,https://www.instagram.com/dailymail/,792.3K,https://x.com/DailyMailUK,https://www.dailymail.co.uk/,"May 4, 1896",129,https://en.wikipedia.org/wiki/Daily_Mail,UK,EU,,
left,Le Monde,2.3M,https://www.instagram.com/lemondefr/,11M,https://x.com/lemondefr,https://www.lemonde.fr/,"December 19, 1944",81,https://en.wikipedia.org/wiki/Le_Monde,France,EU,https://www.lemonde.fr/en/,https://fr.wikipedia.org/wiki/Le_Monde
right,Le Figaro,843K,https://www.instagram.com/lefigaro,3.7M,https://x.com/Le_Figaro,https://www.lefigaro.fr/,"January 15, 1826",199,https://en.wikipedia.org/wiki/Le_Figaro,France,EU,https://www.lefigaro.fr/en,https://fr.wikipedia.org/wiki/Le_Figaro
left,Libération,628K,https://www.instagram.com/liberationfr/,3.5M,https://x.com/libe,https://www.liberation.fr/,"April 18, 1973",52,https://en.wikipedia.org/wiki/Lib%C3%A9ration,France,EU,,https://fr.wikipedia.org/wiki/Lib%C3%A9ration_(journal)
Center,L'Express,78.8K,https://www.instagram.com/lexpressfr,1.4M,https://x.com/LEXPRESS,https://www.lexpress.fr/,"May 16, 1953",72,https://en.wikipedia.org/wiki/L%27Express,France,EU,,https://fr.wikipedia.org/wiki/L%27Express
Center-right,Les Échos,189K,https://www.instagram.com/lesechos/,1.3M,https://x.com/LesEchos,https://www.lesechos.fr/,1908,117,https://en.wikipedia.org/wiki/Les_%C3%89chos,France,EU,,https://fr.wikipedia.org/wiki/Les_%C3%89chos
Center-left,Der Spiegel,1.3M,https://www.instagram.com/spiegelmagazin/,3.2M,https://x.com/derspiegel,https://www.spiegel.de/,"January 4, 1947",78,https://en.wikipedia.org/wiki/Der_Spiegel,Germany,EU,https://www.spiegel.de/international/,https://de.wikipedia.org/wiki/Der_Spiegel
Center-left,Die Zeit,1.3M,https://www.instagram.com/zeit,544.3K,https://x.com/DIEZEIT,https://www.zeit.de/,"February 21, 1946",79,https://en.wikipedia.org/wiki/Die_Zeit,Germany,EU,,https://de.wikipedia.org/wiki/Die_Zeit
Center-right,Frankfurter Allgemeine Zeitung,689K,https://www.instagram.com/faz,884.2K,https://x.com/faznet,https://www.faz.net/,"November 1, 1949",76,https://en.wikipedia.org/wiki/Frankfurter_Allgemeine_Zeitung,Germany,EU,,https://de.wikipedia.org/wiki/Frankfurter_Allgemeine_Zeitung
Center-left,Süddeutsche Zeitung,884K,https://www.instagram.com/sz,1.8M,https://x.com/SZ,https://www.sueddeutsche.de/,"October 6,1945",80,https://en.wikipedia.org/wiki/S%C3%BCddeutsche_Zeitung,Germany,EU,,https://de.wikipedia.org/wiki/S%C3%BCddeutsche_Zeitung
right,Bild,1M,https://www.instagram.com/bild/,2M,https://x.com/BILD,https://www.bild.de/,"June 24, 1952",73,https://en.wikipedia.org/wiki/Bild,Germany,EU,,https://de.wikipedia.org/wiki/Bild_(Zeitung)
Center-left,El País,2.1M,https://www.instagram.com/el_pais,8.8M,https://x.com/el_pais,https://elpais.com/,"May 4,1976",49,https://en.wikipedia.org/wiki/El_Pa%C3%ADs,Spain,EU,,https://es.wikipedia.org/wiki/El_Pa%C3%ADs
Center-right,El Mundo,2M,https://www.instagram.com/elmundo_es/,4.9M,https://x.com/elmundoes,https://www.elmundo.es/,"October 23, 1989",36,https://en.wikipedia.org/wiki/El_Mundo_(Spain),Spain,EU,,https://es.wikipedia.org/wiki/El_Mundo_(Espa%C3%B1a)
right,ABC,1.3M,https://www.instagram.com/abc_diario,2.3M,https://x.com/abc_es,https://www.abc.es/,"January 1, 1903",122,https://en.wikipedia.org/wiki/ABC_(newspaper),Spain,EU,,https://es.wikipedia.org/wiki/ABC_(peri%C3%B3dico)
Center-right,La Vanguardia,1.3M,https://www.instagram.com/lavanguardia/,1.3M,https://x.com/LaVanguardia,https://www.lavanguardia.com/,"February 1, 1881",144,https://en.wikipedia.org/wiki/La_Vanguardia,Spain,EU,,https://es.wikipedia.org/wiki/La_Vanguardia
Center-left,El Periódico,129K,https://www.instagram.com/elperiodico/,724.8K,https://x.com/elperiodico,https://www.elperiodico.com/,"October 26, 1978",47,https://en.wikipedia.org/wiki/El_Periodico_de_Catalunya,Spain,EU,,https://es.wikipedia.org/wiki/El_Peri%C3%B3dico_(Barcelona)
,China Media Group (CGTN),2.3M,https://www.instagram.com/cgtn/?hl=en,12.8M,https://x.com/CGTNOfficial?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.cgtn.com/,21 March 2018,7,https://en.wikipedia.org/wiki/China_Media_Group; https://en.wikipedia.org/wiki/CGTN_(TV_channel) ,China,China,,
,People's daily,,,6.5M, https://x.com/PDChina,http://www.people.cn/,15 June 1948,76,https://en.wikipedia.org/wiki/People%27s_Daily,China,China,,
,Xinhua,1.6M,https://www.instagram.com/chinaxinhuanews/?hl=en,11.8M,https://x.com/XHNews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://english.news.cn/,November 1931,93,https://en.wikipedia.org/wiki/Xinhua_News_Agency,China,China,,
,China News ,,,697.5K,https://x.com/Echinanews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.ecns.cn/,1 October 1952,72,https://en.wikipedia.org/wiki/China_News_Service,China,China,,
,China Daily,1.5M,https://www.instagram.com/chinadailynews/?hl=en,4.1M,https://x.com/ChinaDaily?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.chinadaily.com.cn/,1 June 1981,43,https://en.wikipedia.org/wiki/China_Daily,China,China,,
,Guang Ming Daily,,,223K,https://x.com/Guangming_Daily?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,en.gmw.cn,16 June 1949,75,https://en.wikipedia.org/wiki/Guangming_Daily,China,China,,
,Economic Daily,,,7156,https://x.com/EDNewsChina?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,http://en.ce.cn/dily/,"January 1, 1983",42,https://en.wikipedia.org/wiki/Economic_Daily,China,China,,
,Qiushi,,,8984,https://x.com/qiushijournal?lang=en,http://en.qstheory.cn/,1 July 1988,36,https://en.wikipedia.org/wiki/Qiushi,China,China,,
,Mango TV,158K,https://www.instagram.com/mgtv/?hl=en,57.6K,https://x.com/hunantvchina?lang=en,https://w.mgtv.com/?cxid=xpt5suk06,26 May 2006,18,https://en.wikipedia.org/wiki/Mango_TV,China,China,,
,The Paper,3633,https://www.instagram.com/thepapercn/,43K,https://x.com/thepapercn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,thepaper.cn,July 2014,10,https://en.wikipedia.org/wiki/The_Paper_(newspaper),China,China,,
,Shanghai Daily,,,393.2K,https://x.com/shanghaidaily?lang=en,https://www.shine.cn/,1999,26,https://en.wikipedia.org/wiki/Shanghai_Daily,China,China,,
,Beijing Daily ,,,5969,https://x.com/DailyBeijing?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,bjd.com.cn,"October 1, 1952",73,https://en.wikipedia.org/wiki/Beijing_Daily,China,China,,
,The Beijing News,,,,,,11 November 2003,21,https://en.wikipedia.org/wiki/The_Beijing_News,China,China,,
,Caixin,1843,https://www.instagram.com/caixin_global/,90.5K,https://x.com/caixin,https://www.caixinglobal.com/,2009,16,https://en.wikipedia.org/wiki/Caixin,China,China,,
,Phoenix New Media,,,13.4K,https://x.com/ifeng__official?lang=en,https://ir.ifeng.com/,31 March 1996,29,https://en.wikipedia.org/wiki/Phoenix_Television,China,China,,
,Toutiao,,,651,https://x.com/toutiaoapp?lang=en,toutiao.com,August 2012,12,https://en.wikipedia.org/wiki/Toutiao,China,China,,
,Sina News,,,1469,https://x.com/sinanews?lang=en,sina.com.cn,"November 30, 1998",26,https://en.wikipedia.org/wiki/Sina_Corporation,China,China,,
,Sohu News,,,327,https://x.com/sohu_news?lang=en,news.sohu.com,August 1996,28,https://en.wikipedia.org/wiki/Sohu,China,China,,
,Oriental Daily,,,,,,22 January 1969,56,https://en.wikipedia.org/wiki/Oriental_Daily_News,China,China,,
,Global Times,211K,https://www.instagram.com/globaltimes/?hl=en,1.8M,https://x.com/globaltimesnews,globaltimes.cn,2009,15,https://en.wikipedia.org/wiki/Global_Times,China,China,,
,Southern Weekly,,,268,https://x.com/southern_weekly,southernweekly.com.au,11 February 1984,41,https://en.wikipedia.org/wiki/Southern_Weekly,China,China,,
,Nanfang Daily,,,,,,23 October 1949,75,https://en.wikipedia.org/wiki/Nanfang_Daily,China,China,,
,China Youth Daily,,,1535,https://x.com/ChinaYouthNews,https://en-cyd.youth.cn/,1951,74,https://en.wikipedia.org/wiki/China_Youth_Daily,China,China,,
